Year,Drought,Flood,Wildfire
1900,2,1,0
1903,1,2,0
1906,1,0,0
1909,0,1,0
1910,9,1,0
1911,0,1,1
1915,0,1,0
1917,0,1,0
1918,0,0,1
1919,1,0,0
1920,2,1,0
1921,1,0,0
1922,0,0,1
1925,0,1,0
1926,0,4,0
1927,0,2,0
1928,1,2,0
1929,0,0,1
1930,0,1,0
1931,1,1,0
1933,0,2,0
1935,0,1,0
1936,0,1,0
1937,0,2,0
1938,0,2,0
1939,0,2,1
1940,9,3,0
1942,1,0,0
1943,1,2,0
1944,0,0,2
1946,1,0,0
1947,1,1,1
1948,0,5,0
1949,0,2,1
1950,0,10,0
1951,0,7,0
1952,0,4,0
1953,0,12,0
1954,0,9,0
1955,0,3,0
1956,0,9,1
1957,0,11,0
1958,0,3,0
1959,0,13,0
1960,1,7,0
1961,1,8,0
1962,0,8,0
1963,1,8,0
1964,7,22,0
1965,7,19,1
1966,9,23,1
1967,5,26,1
1968,7,20,2
1969,10,14,1
1970,2,31,1
1971,7,15,0
1972,7,15,0
1973,2,20,2
1974,4,17,0
1975,0,17,0
1976,6,16,1
1977,16,47,1
1978,9,48,1
1979,9,34,1
1980,13,39,1
1981,9,41,2
1982,11,48,2
1983,27,48,11
1984,6,46,7
1985,3,57,12
1986,3,49,5
1987,15,66,7
1988,15,75,0
1989,7,46,2
1990,12,60,4
1991,15,75,8
1992,11,58,8
1993,6,84,2
1994,12,88,13
1995,6,93,7
1996,6,92,4
1997,18,95,15
1998,20,94,18
1999,23,122,21
2000,27,147,27
2001,22,151,14
2002,25,165,21
2003,14,156,14
2004,11,125,8
2005,19,190,13
2006,9,225,10
2007,11,215,17
2008,16,163,5
2009,18,151,9
2010,17,184,7
2011,16,153,8
2012,21,136,6
2013,9,148,10
2014,18,136,4
2015,29,161,13
2016,14,159,10
2017,11,127,15
2018,16,127,10
2019,16,195,14
2020,11,201,9
2021,17,222,19
2022,23,177,15
2023,13,163,16
2024,12,142,21
2025,2,32,9
